Date,Open,High,Low,Close,Volume,Adj Close
2015-12-31,3.26,3.34,3.23,3.28,21800,3.28
2015-12-30,3.36,3.36,3.24,3.25,15000,3.25
2015-12-29,3.32,3.37,3.27,3.34,34300,3.34
2015-12-28,3.28,3.40,3.28,3.33,35200,3.33
2015-12-24,3.39,3.40,3.24,3.33,20300,3.33
2015-12-23,3.14,3.37,3.14,3.29,222500,3.29
2015-12-22,3.18,3.20,3.08,3.16,70300,3.16
2015-12-21,3.13,3.20,3.044,3.17,74800,3.17
2015-12-18,3.14,3.20,3.07,3.15,92800,3.15
2015-12-17,3.18,3.25,3.18,3.18,12400,3.18
2015-12-16,3.20,3.25,3.20,3.21,40300,3.21
2015-12-15,3.19,3.23,3.14,3.20,32300,3.20
2015-12-14,3.17,3.17,3.14,3.17,12000,3.17
2015-12-11,3.15,3.26,3.14,3.14,17400,3.14
2015-12-10,3.14,3.21,3.14,3.19,7100,3.19
2015-12-09,3.22,3.22,3.11,3.16,19500,3.16
2015-12-08,3.20,3.30,3.20,3.20,39100,3.20
2015-12-07,3.20,3.30,3.20,3.21,55600,3.21
2015-12-04,3.23,3.23,2.98,3.20,26500,3.20
2015-12-03,3.22,3.24,3.20,3.233,13600,3.233
2015-12-02,3.22,3.28,3.20,3.22,18600,3.22
2015-12-01,3.22,3.26,3.20,3.22,8500,3.22
2015-11-30,3.21,3.28,3.20,3.24,125200,3.24
2015-11-27,3.16,3.30,3.16,3.27,27200,3.27
2015-11-25,3.20,3.25,3.18,3.18,29900,3.18
2015-11-24,3.14,3.24,3.14,3.22,17200,3.22
2015-11-23,3.17,3.28,3.16,3.19,32100,3.19
2015-11-20,3.21,3.22,3.15,3.20,30700,3.20
2015-11-19,3.20,3.26,3.15,3.24,46700,3.24
2015-11-18,3.20,3.245,2.98,3.21,20600,3.21
2015-11-17,3.23,3.23,3.18,3.20,10400,3.20
2015-11-16,3.17,3.27,3.11,3.19,26200,3.19
2015-11-13,3.23,3.24,3.15,3.21,22600,3.21
2015-11-12,3.279,3.28,3.20,3.23,15400,3.23
2015-11-11,3.29,3.29,3.22,3.28,126500,3.28
2015-11-10,3.24,3.30,3.20,3.29,19700,3.29
2015-11-09,3.28,3.37,3.24,3.30,35900,3.30
2015-11-06,3.25,3.32,3.23,3.27,31700,3.27
2015-11-05,3.25,3.27,3.23,3.25,23500,3.25
2015-11-04,3.25,3.26,3.23,3.25,56000,3.25
2015-11-03,3.20,3.30,3.12,3.25,49000,3.25
2015-11-02,3.15,3.245,3.15,3.19,194800,3.19
2015-10-30,3.19,3.20,3.112,3.18,103300,3.18
2015-10-29,3.13,3.29,3.10,3.19,248000,3.19
2015-10-28,3.05,3.30,2.97,3.24,123100,3.24
2015-10-27,3.14,3.19,3.01,3.05,62700,3.05
2015-10-26,3.20,3.20,3.13,3.14,78900,3.14
2015-10-23,3.21,3.23,3.15,3.20,34400,3.20
2015-10-22,3.31,3.31,3.20,3.21,22900,3.21
2015-10-21,3.38,3.40,3.20,3.35,33100,3.35
2015-10-20,3.399,3.43,3.343,3.41,34000,3.41
2015-10-19,3.23,3.40,3.17,3.40,58700,3.40
2015-10-16,3.24,3.40,3.20,3.22,23000,3.22
2015-10-15,3.18,3.36,3.16,3.27,34000,3.27
2015-10-14,3.18,3.46,3.17,3.18,16400,3.18
2015-10-13,3.29,3.34,3.21,3.21,30300,3.21
2015-10-12,3.35,3.44,3.27,3.27,3900,3.27
2015-10-09,3.32,3.43,3.30,3.34,38500,3.34
2015-10-08,3.35,3.469,3.35,3.42,30400,3.42
2015-10-07,3.31,3.38,3.21,3.34,34300,3.34
2015-10-06,3.40,3.40,3.13,3.33,14700,3.33
2015-10-05,3.35,3.49,3.35,3.36,18900,3.36
2015-10-02,3.20,3.38,3.20,3.35,22800,3.35
2015-10-01,2.97,3.26,2.97,3.25,17200,3.25
2015-09-30,3.02,3.045,2.90,3.00,38200,3.00
2015-09-29,3.25,3.25,2.88,2.88,75300,2.88
2015-09-28,3.55,3.55,3.19,3.23,46800,3.23
2015-09-25,3.58,3.64,3.42,3.43,17600,3.43
2015-09-24,3.55,3.60,3.53,3.56,11300,3.56
2015-09-23,3.52,3.60,3.51,3.60,17300,3.60
2015-09-22,3.49,3.54,3.42,3.48,26200,3.48
2015-09-21,3.56,3.59,3.51,3.53,21600,3.53
2015-09-18,3.61,3.70,3.51,3.55,119600,3.55
2015-09-17,3.64,3.71,3.42,3.71,18300,3.71
2015-09-16,3.63,3.74,3.63,3.67,42900,3.67
2015-09-15,3.462,3.74,3.462,3.65,35500,3.65
2015-09-14,3.58,3.66,3.56,3.63,42200,3.63
2015-09-11,3.52,3.65,3.50,3.59,24700,3.59
2015-09-10,3.55,3.75,3.55,3.62,38500,3.62
2015-09-09,3.51,3.68,3.51,3.65,57200,3.65
2015-09-08,3.48,3.60,3.48,3.57,20500,3.57
2015-09-04,3.46,3.56,3.46,3.50,23000,3.50
2015-09-03,3.49,3.49,3.41,3.48,16400,3.48
2015-09-02,3.30,3.56,3.30,3.43,19900,3.43
2015-09-01,3.22,3.38,3.20,3.28,44900,3.28
2015-08-31,3.33,3.33,3.28,3.31,8900,3.31
2015-08-28,3.23,3.29,3.21,3.26,29000,3.26
2015-08-27,3.30,3.47,3.18,3.26,28100,3.26
2015-08-26,3.26,3.33,3.16,3.32,19300,3.32
2015-08-25,3.48,3.48,3.07,3.27,58100,3.27
2015-08-24,3.25,3.28,3.18,3.28,43100,3.28
2015-08-21,3.45,3.54,3.42,3.47,49600,3.47
